commit,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,20604,21239,21696
64846835396b5c4ef3a56c40dcc51a6447506d36,20745,21441,22588
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,20986,21912,22281
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,21354,21816,22474
a23e489b54dc821804995274ecc8d12157158e26,21286,22159,22410
2b44b595130a34981344c929285bba2095961ef3,20909,21937,22332
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,21759,23745,24292
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,22954,23405,24132
c8df94651c9ce924bb61d70c8cce6796e1d61058,21244,21905,22894
5f71bb9930151a1595455f56a405d7aeff29128f,21550,22227,23100
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,20874,21673,22250
c9c55ea86ba4ec87010256dfcd90921f39c49560,20729,21899,22496
283348c8044d834de1f8998220aea3ba441746b2,20765,21554,22820
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,21301,22057,22731
6d13f91c4366e34cbd0e3809d24697dfec47b519,21012,21532,22290
60d1364fec5b8508db38044cd41bb74dc58c1338,21283,22020,22571
a5392e36c3f70061c41d33cac827595806b4c01f,21217,22003,22892
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,21603,22549,23253
29165c34725e3d176b7862c1cdade564b0e05d10,21382,22223,29625
096f7414065a57805e2ca6b5107dc94130cc3845,20858,21751,22079
