commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,24810,26288,33220
e089d420e60fc9e655fb60613b8f28d651774f24,25267,26458,46923
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,25462,26959,30869
6412cc6a46f3b5543cfef307f5a40023c85cbf37,25967,27471,31684
b4bdca260a6081691fd1a28edfa01db65290341d,25472,26407,33794
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,25977,27273,38019
72b220b7d4d974db02a3bd6237eced4273d11860,25948,27481,35155
7b080327161503abd420d94cedd20ca1ec89005c,26130,27381,32558
dcc01b30003ddd20328dd5b965ea219d3322719d,26066,28961,34258
98092765d3ec0d06e7b703c4a2ef4aa903506f09,25703,27159,31333
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,26111,27478,35715
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,25244,26695,35144
e63706bf47d28ce23152341f8acc826705313f4a,25922,27222,31626
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,25715,26889,31906
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,25674,26936,36368
a9c5572845dbaebfea7edd08a555e3f6383c46f8,25650,26815,31540
64846835396b5c4ef3a56c40dcc51a6447506d36,25015,26345,30654
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,26165,27500,35943
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,25762,27366,31574
a23e489b54dc821804995274ecc8d12157158e26,25393,26369,34078
2b44b595130a34981344c929285bba2095961ef3,26701,27915,38868
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,25481,26719,31703
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,25520,26810,34173
c8df94651c9ce924bb61d70c8cce6796e1d61058,26262,28008,31782
5f71bb9930151a1595455f56a405d7aeff29128f,25578,26848,36076
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,25863,27054,35615
c9c55ea86ba4ec87010256dfcd90921f39c49560,25541,27629,34091
283348c8044d834de1f8998220aea3ba441746b2,25365,27048,37942
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,26738,27792,36035
6d13f91c4366e34cbd0e3809d24697dfec47b519,25402,26488,33068
60d1364fec5b8508db38044cd41bb74dc58c1338,67829,69011,79124
a5392e36c3f70061c41d33cac827595806b4c01f,67512,70359,78712
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,67633,68795,77037
29165c34725e3d176b7862c1cdade564b0e05d10,66248,70539,71867
096f7414065a57805e2ca6b5107dc94130cc3845,68157,69363,77811
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,67155,70160,79817
a04a49cc8304fcbbbe08cd497a69356b385ae98a,66465,68400,78453
6c6f7247c3168a53b1f034fa61bc1440db079178,66986,69293,75716
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,68168,69305,74921
5c775280c20f00358509076689637dbb25fda8bc,69395,70668,75141
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,66533,71444,76172
c1143578e7b65da50c770532199bd3b8d1a661e5,66043,70895,73676
3f06e437eca970c8c79d3690f139e612b7b26b77,65834,70305,77443
05264e56586a9a58184f3a19dca5cc4f60d27816,67765,69046,80415
bbbfd007d05a5e7ff9f7ff1e70adc2f6e8a1a8ad,66650,67959,76101
c3ae53b86011825f7c5dc9b992d3a8244fdd5c01,65684,70448,71260
580b0a7c4236e161270ce0400776c652c73445c8,68171,71142,79691
dfcfb2dafc6acfa86cd1db8f8c6cd498202e202c,68892,70145,74710
e549ace612712af9292e8d3165c0d5c1f7c030cc,66698,70776,75385
9e71fbaddc112024d46096074825d1d2de40b0b1,68831,70054,74510
2c6f4ba839c1bd97d58609918867bdc7449378c3,69007,70293,78448
f8598c1b9aeff50aa916ec01cab51f6544a125fe,68402,69572,76099
11663efc1b496112c3c1b6d39406071a9afe333d,69130,70554,85025
399c1bcf1e59df41da6ad27c608df0699c5f7860,69126,70252,80866
9795dbe858bfae70f91e6f6e85e2252b540facec,69000,70227,74697
19bb5ffe2976a6e5dd2ccca6fa46bae459a7ac07,67792,68847,74431
d496171e81b325c34f4591c309cdea83bfc8ffb9,66533,70514,74076
31f7cfbb26ba95a97d57b16136ba710921262f40,69327,70569,76895
9b9280cdf607bee5551ef27a9bb4f82048bb666f,66314,70458,72077
29b35789933ea08a43c8cfa319ee182ab705a5b2,67171,68648,74631
1ad4ef69989a4d626ac9a0aea67ce995906565e4,68837,70299,77441
41ab5f0ccb90753011ead705c1754b3ed9a14f3b,68107,69943,75643
91188c450fe6e1b5dc2c6dd942e5a497dfbc91a8,69048,70090,79189
b94515a8b0bfd287760eca2ca53b36fe37d16d8d,69089,70316,78391
789b12fd25faf78cc91d7c5fb8532a10e765662c,68508,69760,77206
9bf2c6d2b4e9dd6f9d851ab60aa0e8c235479779,69129,70378,81803
fd68ab054f06eb77702dd937f84b0ca67ce45c34,66920,67901,76716
cb9ee3ba2a05c52a0159741d446943d812bbb072,68246,69258,77044
96444c456a1a6f78d41e1cc44e0dce2c33edb5cd,66077,67301,75948
7d439f3b1fe19d279f676467047b765d4737670b,65685,69856,78507
5bff214ad5feddc08055f29155d457c66644c6a5,67647,68507,80665
b12afdecb29cbda299e31f2568803de255633835,65899,70606,75461
27db0c98adaa5bc7847ae073902815b7dc92251b,68271,71505,80938
