commit,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,10742,10950,11232
89a642312840673abd94b4797badd91e20da36f3,10735,11033,11467
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,11272,11675,12329
093f500adfdef056c7280244913e934012ac0bd8,10696,11164,13320
655c2ffaaeeffb901143db3415dc65bd70affb75,10651,10825,11174
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,10520,10802,11325
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,10732,10891,11296
875eacc8edc8e19a9dc13057800118f8b91b2817,10635,10934,11984
ad1bda4845f098715de3918e06cbd2eebf236443,10604,10786,11035
9be5193b99d4880bacd7f8400b1b678eeef18739,11120,11379,19108
93705f02bb72aa48a89e4bd2231c65c212badf95,10589,10822,11146
e4e90e79e98821b58de5bd8cf5d3326b760d2f6c,10633,10784,11082
524a515401540ea5e8db227d8a5e3a5ec5b343cf,10805,11014,12963
de379a2b8fb7d4a7c512a562736769aa12ee56c1,10763,11028,11346
74aad0dd10bcc72f3ddb8131d853bcef85f93faf,10648,10796,11293
6014e48517ba4bb09807f43df46830340cd31418,10785,11011,11734
9c87b7042d0f85dc90366c990f7cad6fee3810e0,10802,11049,11236
c0d53673608aa40435a7966fb4d13941fc0f807e,10606,10863,11104
b01efd97e4295135ba622dd47a89e69a2c8e0406,10558,10722,10863
c7466bd47b75fd28f349df7d2abb15cb6af28326,10513,10750,11103
