commit,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,8619,8827,10750
89a642312840673abd94b4797badd91e20da36f3,8285,8724,9476
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,8193,8721,9510
093f500adfdef056c7280244913e934012ac0bd8,8287,8865,9244
655c2ffaaeeffb901143db3415dc65bd70affb75,8468,8698,9124
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,8167,8617,9106
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,8392,8786,9111
875eacc8edc8e19a9dc13057800118f8b91b2817,8267,8631,8961
ad1bda4845f098715de3918e06cbd2eebf236443,8356,8598,9010
9be5193b99d4880bacd7f8400b1b678eeef18739,8823,9205,10440
93705f02bb72aa48a89e4bd2231c65c212badf95,8445,8740,9318
e4e90e79e98821b58de5bd8cf5d3326b760d2f6c,8228,8733,10326
524a515401540ea5e8db227d8a5e3a5ec5b343cf,8594,9464,9805
de379a2b8fb7d4a7c512a562736769aa12ee56c1,8523,8905,9186
74aad0dd10bcc72f3ddb8131d853bcef85f93faf,8390,8700,10390
6014e48517ba4bb09807f43df46830340cd31418,8352,8761,9146
9c87b7042d0f85dc90366c990f7cad6fee3810e0,8333,8730,9016
c0d53673608aa40435a7966fb4d13941fc0f807e,8319,8628,9301
b01efd97e4295135ba622dd47a89e69a2c8e0406,8361,8700,9069
c7466bd47b75fd28f349df7d2abb15cb6af28326,8122,8632,8711
49d053975bfab9b13eb074ad84e437170dc9cdca,8156,8646,9108
eb431ef869a12a2577af667899748faab49ef114,8345,8622,9078
5d4a4c9b1e0706dd73b24e043f8bd4c74d227e0a,8414,9593,10164
538ecf01d55a6b9fabe5ef1bdccfdf5b5482f489,8359,9419,10178
7d267df20212b556aaaf33992780d4f45e06215d,8121,8588,9108
a3180768be796f06373fd705a2d410ac2554efcb,8211,9095,9433
dff9df34d85dd8b2270f42eb2fe50ee28c6a52f5,8147,8608,8808
b3c05647d4a8699d680f108d2da568dd38887d42,8355,8777,9126
fbba826cf3809b7836d50384b15f72c624fed3ed,8455,8786,9564
534211e738543529353d7f9ab05294cae13a983a,8148,8549,9084
ae7b070d2174733790c9f0ae6a96167999c78858,8202,8704,9169
c9fdea92e9db4ab2064e3028640244b16b593bd8,8422,8711,9028
e3eacbfe376ee8871ba051889412406182b631b7,8455,8682,9058
956b011c8b2724875ea6083fec761e299519c7d8,8066,8591,9236
d4ecb0ff6daae2544a58c86e36e70ce370d69eec,8471,8881,9139
ae3b6414f34b63b7562a4ba61884cd5c0ca47d77,8369,8746,9078
08478fcf43a37388f69c160256170264aa765a3a,8450,8699,9200
55bea06b6d38ea42b2ffe2205f2075504062c54d,8509,8684,9036
88cdcd5e80f21e919e4b7ad3b447683cb1a8543b,8172,8932,9816
b3b63cb03457b435b6001df7838f5e8f6d232989,8359,8553,9053
399471f551f5564dfcadb4a0c65f272a8a06a301,8334,9371,10108
6d3fe305cd007439daf2116f2c90c7e46202bf9d,8308,8662,9039
76de8afd43b0b904714f162024ac529bcf65a483,8307,8785,9283
c1d39aa217f3d40e677595c0c114d84a987df84d,8338,8784,9093
515246049936b128bb07f639ed508f92857ec610,8285,8997,10085
b9525e21d7088cb5058b17a00f71021f3d8509e9,8184,8690,9113
6734b1ba5d0c974ac807e042be5df176fd0ccce4,8364,8852,9178
0f0f7795daf21ff05a838e500663f23514e01c23,8539,8931,9447
19d62a1e05945e00a1244311fde2f9a6fd9cf804,8741,8964,10943
f3eeb4e4d74c3141d4bac39ffa2368d37cb06f29,8739,8889,10856
b146b7fa636a20495b68c607d537563ef4bc36d0,8305,8849,9408
7ae1c1a4ff7d8074df7b045cd46adb6b76d35502,8427,8861,8992
fef27d952cb06f78c2b77ee3a2b63e66ed4738aa,8234,8705,9073
0ee22a903f31ec0b7a935b88f8a31eec4e2e488c,8564,8907,9009
0d48629ea5f6b79a1cc1bd875ae39c261c1045d9,8273,8778,9687
3b1d31af24bcde57b6a9190c1897a68de4974707,8447,9332,9515
0026ae9a34bd7e0dd2973b98dad1cdccd5835327,8722,9060,11019
f5f77796e381cd6f4fde94450ba212d5ab7a6fa7,8527,9024,9486
