commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,18657,36600,44169
e089d420e60fc9e655fb60613b8f28d651774f24,18725,40306,52067
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,16935,35615,41580
6412cc6a46f3b5543cfef307f5a40023c85cbf37,16849,30681,42239
b4bdca260a6081691fd1a28edfa01db65290341d,19047,46395,55748
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,19280,38769,45087
72b220b7d4d974db02a3bd6237eced4273d11860,16391,34483,48533
7b080327161503abd420d94cedd20ca1ec89005c,16123,37772,42222
dcc01b30003ddd20328dd5b965ea219d3322719d,16029,37698,44935
98092765d3ec0d06e7b703c4a2ef4aa903506f09,19056,35366,47341
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,16406,34223,52404
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,17634,34262,49514
e63706bf47d28ce23152341f8acc826705313f4a,18278,35701,49646
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,16245,36179,43087
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,16647,30762,37274
a9c5572845dbaebfea7edd08a555e3f6383c46f8,19036,38092,46176
64846835396b5c4ef3a56c40dcc51a6447506d36,18864,36998,48308
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,16785,35094,44059
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,17105,35455,54431
a23e489b54dc821804995274ecc8d12157158e26,19740,36757,70888
2b44b595130a34981344c929285bba2095961ef3,17087,33383,55272
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,17804,40665,48670
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,18238,40018,51585
c8df94651c9ce924bb61d70c8cce6796e1d61058,16639,55734,114233
5f71bb9930151a1595455f56a405d7aeff29128f,19480,37688,47557
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,20057,33137,52857
c9c55ea86ba4ec87010256dfcd90921f39c49560,16197,38518,65092
283348c8044d834de1f8998220aea3ba441746b2,17088,34602,35698
