commit,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,299567,302489,303417
89a642312840673abd94b4797badd91e20da36f3,318441,321238,322516
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,299754,301693,302202
093f500adfdef056c7280244913e934012ac0bd8,296368,298440,299406
655c2ffaaeeffb901143db3415dc65bd70affb75,295110,297323,297515
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,297554,299697,300295
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,298290,300360,302538
875eacc8edc8e19a9dc13057800118f8b91b2817,297348,299407,299888
ad1bda4845f098715de3918e06cbd2eebf236443,297379,299872,300586
9be5193b99d4880bacd7f8400b1b678eeef18739,296282,299390,310868
93705f02bb72aa48a89e4bd2231c65c212badf95,299961,301692,302545
e4e90e79e98821b58de5bd8cf5d3326b760d2f6c,297764,300556,301525
524a515401540ea5e8db227d8a5e3a5ec5b343cf,297887,299518,300730
de379a2b8fb7d4a7c512a562736769aa12ee56c1,296123,297771,298398
74aad0dd10bcc72f3ddb8131d853bcef85f93faf,298324,300404,301167
6014e48517ba4bb09807f43df46830340cd31418,297778,300077,300593
9c87b7042d0f85dc90366c990f7cad6fee3810e0,298776,301060,302124
c0d53673608aa40435a7966fb4d13941fc0f807e,297070,299067,322115
b01efd97e4295135ba622dd47a89e69a2c8e0406,299788,301571,307510
c7466bd47b75fd28f349df7d2abb15cb6af28326,296967,298587,303877
49d053975bfab9b13eb074ad84e437170dc9cdca,297841,299190,299765
eb431ef869a12a2577af667899748faab49ef114,297627,299380,299686
5d4a4c9b1e0706dd73b24e043f8bd4c74d227e0a,299221,300588,301039
538ecf01d55a6b9fabe5ef1bdccfdf5b5482f489,299011,301289,301901
7d267df20212b556aaaf33992780d4f45e06215d,297898,300361,301980
a3180768be796f06373fd705a2d410ac2554efcb,299090,300628,301956
dff9df34d85dd8b2270f42eb2fe50ee28c6a52f5,295254,297580,300897
b3c05647d4a8699d680f108d2da568dd38887d42,294458,297428,304412
fbba826cf3809b7836d50384b15f72c624fed3ed,300578,302653,307089
534211e738543529353d7f9ab05294cae13a983a,300496,302367,303089
ae7b070d2174733790c9f0ae6a96167999c78858,299691,302034,303682
