commit,section,operation,samples,p50,p95,p99
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),protocol,100,249,265,14412
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),stat,100,179,213,222
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),open+close,100,173,201,210
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),readdir,100,180,210,217
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),create_scratch,100,155,177,187
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),seq_read,100,11,45,1294
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),create+close+unlink,100,14,34,51
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),mkdir+rmdir,100,14,40,54
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),create+close+rename,100,16,40,81
755e0f674249e0af4bb3099b3d494d2d3b116149,Decomposed (paired),write+flush,100,130,151,155
