commit,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,321,327,12718
64846835396b5c4ef3a56c40dcc51a6447506d36,321,329,12716
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,319,335,12558
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,320,328,13183
a23e489b54dc821804995274ecc8d12157158e26,320,326,13247
2b44b595130a34981344c929285bba2095961ef3,320,330,12993
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,320,328,13244
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,319,333,12980
c8df94651c9ce924bb61d70c8cce6796e1d61058,320,325,13106
5f71bb9930151a1595455f56a405d7aeff29128f,319,326,12845
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,318,333,13162
c9c55ea86ba4ec87010256dfcd90921f39c49560,322,326,12430
283348c8044d834de1f8998220aea3ba441746b2,319,334,12821
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,321,327,12862
6d13f91c4366e34cbd0e3809d24697dfec47b519,320,327,12826
60d1364fec5b8508db38044cd41bb74dc58c1338,321,329,13201
a5392e36c3f70061c41d33cac827595806b4c01f,319,339,13160
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,320,331,13301
29165c34725e3d176b7862c1cdade564b0e05d10,320,335,12737
096f7414065a57805e2ca6b5107dc94130cc3845,321,328,12716
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,320,339,12596
a04a49cc8304fcbbbe08cd497a69356b385ae98a,318,334,12733
6c6f7247c3168a53b1f034fa61bc1440db079178,321,337,12621
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,321,332,12614
5c775280c20f00358509076689637dbb25fda8bc,319,331,12617
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,321,327,12669
c1143578e7b65da50c770532199bd3b8d1a661e5,321,330,12798
3f06e437eca970c8c79d3690f139e612b7b26b77,320,334,12959
05264e56586a9a58184f3a19dca5cc4f60d27816,320,332,12704
bbbfd007d05a5e7ff9f7ff1e70adc2f6e8a1a8ad,320,329,12542
c3ae53b86011825f7c5dc9b992d3a8244fdd5c01,318,328,12942
580b0a7c4236e161270ce0400776c652c73445c8,319,328,13035
dfcfb2dafc6acfa86cd1db8f8c6cd498202e202c,320,334,13074
e549ace612712af9292e8d3165c0d5c1f7c030cc,321,333,12806
9e71fbaddc112024d46096074825d1d2de40b0b1,318,329,12667
2c6f4ba839c1bd97d58609918867bdc7449378c3,321,331,12639
