commit,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,45890,52907,60932
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,38797,45815,50885
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,38769,45889,50841
dd2e85dec629c5c0407bb475271c6adb1d471058,21873,28775,36993
f774163c71a3dd7101b4713f3746a0b54a42336b,37884,42870,50889
3efdbbdddd8227b5260058e8831564cda37ddea9,39864,52838,54934
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,39885,47946,58323
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,38813,42972,49841
08ebc197a5662357cede3acf24f24a2e86fac1cb,38877,48005,66938
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,37899,45605,54937
a23e489b54dc821804995274ecc8d12157158e26,22000,28431,35548
2b44b595130a34981344c929285bba2095961ef3,37824,42865,50936
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,36920,42800,49898
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,21806,28844,31639
