commit,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,37091,40414,41561
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,31504,33361,33776
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,33378,36879,40880
dd2e85dec629c5c0407bb475271c6adb1d471058,14362,17760,19205
f774163c71a3dd7101b4713f3746a0b54a42336b,31286,33011,33927
3efdbbdddd8227b5260058e8831564cda37ddea9,32352,35754,39205
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,34683,37946,40003
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,30251,33000,35512
08ebc197a5662357cede3acf24f24a2e86fac1cb,30607,32386,34298
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,29843,31363,32543
a23e489b54dc821804995274ecc8d12157158e26,13772,17865,18833
2b44b595130a34981344c929285bba2095961ef3,31003,32799,37214
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,31136,33897,35579
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,14842,18665,21989
c8df94651c9ce924bb61d70c8cce6796e1d61058,33088,37700,39181
5f71bb9930151a1595455f56a405d7aeff29128f,32908,35618,47207
