commit,size,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,32B,2638,2930,32945
a9c5572845dbaebfea7edd08a555e3f6383c46f8,64B,8093,8673,9280
a9c5572845dbaebfea7edd08a555e3f6383c46f8,128B,16385,17573,37758
a9c5572845dbaebfea7edd08a555e3f6383c46f8,256B,32924,34546,39959
a9c5572845dbaebfea7edd08a555e3f6383c46f8,512B,66210,68018,68479
a9c5572845dbaebfea7edd08a555e3f6383c46f8,1KiB,129915,132837,135471
a9c5572845dbaebfea7edd08a555e3f6383c46f8,4KiB,525039,531003,582669
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,32B,1877,2200,26672
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,64B,6143,6786,6928
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,128B,11900,13659,16394
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,256B,24724,26768,27158
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,512B,50426,52379,53468
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,1KiB,99066,102644,103960
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,4KiB,402438,410013,413338
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,32B,2216,2613,28279
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,64B,6840,8144,8334
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,128B,13628,14948,15512
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,256B,27578,30052,32417
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,512B,56905,64163,65652
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,1KiB,111218,120465,124031
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,4KiB,454215,477631,489247
dd2e85dec629c5c0407bb475271c6adb1d471058,32B,327,535,9226
dd2e85dec629c5c0407bb475271c6adb1d471058,64B,909,1311,1776
dd2e85dec629c5c0407bb475271c6adb1d471058,128B,1710,2268,2741
dd2e85dec629c5c0407bb475271c6adb1d471058,256B,3050,4793,5259
dd2e85dec629c5c0407bb475271c6adb1d471058,512B,6109,9833,13160
dd2e85dec629c5c0407bb475271c6adb1d471058,1KiB,11830,18925,19573
dd2e85dec629c5c0407bb475271c6adb1d471058,4KiB,45683,60416,69328
f774163c71a3dd7101b4713f3746a0b54a42336b,32B,2012,2320,27266
f774163c71a3dd7101b4713f3746a0b54a42336b,64B,6568,7188,7475
f774163c71a3dd7101b4713f3746a0b54a42336b,128B,13362,14452,14847
f774163c71a3dd7101b4713f3746a0b54a42336b,256B,26760,28511,29025
f774163c71a3dd7101b4713f3746a0b54a42336b,512B,53642,55344,56018
f774163c71a3dd7101b4713f3746a0b54a42336b,1KiB,105225,108071,110231
f774163c71a3dd7101b4713f3746a0b54a42336b,4KiB,423111,443327,532508
3efdbbdddd8227b5260058e8831564cda37ddea9,32B,2071,2417,29328
3efdbbdddd8227b5260058e8831564cda37ddea9,64B,6988,7915,9165
3efdbbdddd8227b5260058e8831564cda37ddea9,128B,14333,15436,16340
3efdbbdddd8227b5260058e8831564cda37ddea9,256B,29664,32011,35274
3efdbbdddd8227b5260058e8831564cda37ddea9,512B,59570,64949,88158
3efdbbdddd8227b5260058e8831564cda37ddea9,1KiB,117140,121866,125450
3efdbbdddd8227b5260058e8831564cda37ddea9,4KiB,481034,498169,556440
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,32B,2230,2573,32102
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,64B,7338,7906,8200
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,128B,15115,16237,16669
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,256B,30430,32202,34042
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,512B,61843,65958,80711
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,1KiB,122426,127698,130730
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,4KiB,530751,605233,646347
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,32B,1837,2126,25757
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,64B,5768,6477,19984
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,128B,11930,12873,13150
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,256B,24496,26386,28662
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,512B,49527,52455,78970
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,1KiB,96995,99894,101192
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,4KiB,391917,402211,438192
