commit,p50,p95,p99
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,22223,23668,25472
b8e0ca955da019be85c5b7d381f62f529781eaf3,6516,7203,8781
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,20199,21226,34751
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,20600,23046,27152
dd2e85dec629c5c0407bb475271c6adb1d471058,7160,9101,11371
f774163c71a3dd7101b4713f3746a0b54a42336b,19607,21324,21653
3efdbbdddd8227b5260058e8831564cda37ddea9,19573,21825,22600
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,19289,20803,21550
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,19361,20573,23184
08ebc197a5662357cede3acf24f24a2e86fac1cb,19062,20575,21245
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,19595,24190,25389
a23e489b54dc821804995274ecc8d12157158e26,19086,20259,43597
2b44b595130a34981344c929285bba2095961ef3,6902,7815,8700
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,19443,21597,33223
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,6452,7508,8447
c8df94651c9ce924bb61d70c8cce6796e1d61058,19801,20789,22693
5f71bb9930151a1595455f56a405d7aeff29128f,21476,23151,26110
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,7116,7851,8740
c9c55ea86ba4ec87010256dfcd90921f39c49560,19033,19977,20373
283348c8044d834de1f8998220aea3ba441746b2,18880,20157,20460
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,7896,9440,9955
6d13f91c4366e34cbd0e3809d24697dfec47b519,18841,19850,20542
60d1364fec5b8508db38044cd41bb74dc58c1338,7665,9524,10957
a5392e36c3f70061c41d33cac827595806b4c01f,21595,22970,26184
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,19688,20756,21296
