commit,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,2644,2903,36300
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,1938,2303,27576
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,2122,2555,29104
dd2e85dec629c5c0407bb475271c6adb1d471058,494,674,22546
f774163c71a3dd7101b4713f3746a0b54a42336b,2061,2503,27426
3efdbbdddd8227b5260058e8831564cda37ddea9,1979,2282,27120
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,2416,3172,32532
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,1871,2245,26791
08ebc197a5662357cede3acf24f24a2e86fac1cb,1837,2120,26730
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,2022,2250,25303
a23e489b54dc821804995274ecc8d12157158e26,321,530,17216
2b44b595130a34981344c929285bba2095961ef3,2305,2881,27864
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,2083,2319,28084
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,325,494,18787
c8df94651c9ce924bb61d70c8cce6796e1d61058,1941,2238,26957
5f71bb9930151a1595455f56a405d7aeff29128f,1955,2205,29914
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,1807,2060,25727
c9c55ea86ba4ec87010256dfcd90921f39c49560,2146,2367,29319
283348c8044d834de1f8998220aea3ba441746b2,2219,2641,32269
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,1898,2145,26772
6d13f91c4366e34cbd0e3809d24697dfec47b519,2086,2354,33786
60d1364fec5b8508db38044cd41bb74dc58c1338,4187,4648,34771
a5392e36c3f70061c41d33cac827595806b4c01f,4396,4859,34703
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,3886,4336,31312
29165c34725e3d176b7862c1cdade564b0e05d10,3608,4515,29086
096f7414065a57805e2ca6b5107dc94130cc3845,4659,5299,34568
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,4858,5289,33867
a04a49cc8304fcbbbe08cd497a69356b385ae98a,4867,5257,30753
6c6f7247c3168a53b1f034fa61bc1440db079178,3440,3761,28170
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,3689,4277,32121
5c775280c20f00358509076689637dbb25fda8bc,3767,4361,30155
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,4080,4587,33161
c1143578e7b65da50c770532199bd3b8d1a661e5,3472,4060,28185
3f06e437eca970c8c79d3690f139e612b7b26b77,3271,3739,27880
05264e56586a9a58184f3a19dca5cc4f60d27816,3840,4329,30752
bbbfd007d05a5e7ff9f7ff1e70adc2f6e8a1a8ad,3575,4095,31932
c3ae53b86011825f7c5dc9b992d3a8244fdd5c01,3823,4355,31670
580b0a7c4236e161270ce0400776c652c73445c8,3226,3537,28210
dfcfb2dafc6acfa86cd1db8f8c6cd498202e202c,3473,3798,28507
e549ace612712af9292e8d3165c0d5c1f7c030cc,3447,3783,28271
9e71fbaddc112024d46096074825d1d2de40b0b1,3660,4669,28891
2c6f4ba839c1bd97d58609918867bdc7449378c3,3818,4350,30594
f8598c1b9aeff50aa916ec01cab51f6544a125fe,4264,4909,35156
11663efc1b496112c3c1b6d39406071a9afe333d,3584,4012,30394
