commit,p50,p95,p99
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,1295,1569,18598
b8e0ca955da019be85c5b7d381f62f529781eaf3,303,437,1683
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,1091,1330,14392
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,1095,1361,14683
dd2e85dec629c5c0407bb475271c6adb1d471058,346,570,5527
f774163c71a3dd7101b4713f3746a0b54a42336b,1057,1254,13571
3efdbbdddd8227b5260058e8831564cda37ddea9,1029,1227,17401
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,1122,1301,14295
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,1045,1251,13170
08ebc197a5662357cede3acf24f24a2e86fac1cb,1131,1420,14518
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,1041,1235,16482
a23e489b54dc821804995274ecc8d12157158e26,1064,1229,14620
2b44b595130a34981344c929285bba2095961ef3,381,522,4443
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,1049,1186,15380
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,309,406,2068
c8df94651c9ce924bb61d70c8cce6796e1d61058,1050,1341,13641
5f71bb9930151a1595455f56a405d7aeff29128f,1194,1504,15771
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,306,482,2161
c9c55ea86ba4ec87010256dfcd90921f39c49560,1138,1408,14145
283348c8044d834de1f8998220aea3ba441746b2,980,1175,14147
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,301,495,2277
6d13f91c4366e34cbd0e3809d24697dfec47b519,1042,1275,12828
60d1364fec5b8508db38044cd41bb74dc58c1338,473,621,4328
a5392e36c3f70061c41d33cac827595806b4c01f,1806,2077,15768
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,1949,2280,15636
