commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,19915,26909,27899
e089d420e60fc9e655fb60613b8f28d651774f24,19946,26902,32954
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,20898,27923,29901
6412cc6a46f3b5543cfef307f5a40023c85cbf37,20892,27911,31944
b4bdca260a6081691fd1a28edfa01db65290341d,20959,29863,33042
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,19901,28952,31852
72b220b7d4d974db02a3bd6237eced4273d11860,21826,26906,31907
7b080327161503abd420d94cedd20ca1ec89005c,20861,25918,28860
dcc01b30003ddd20328dd5b965ea219d3322719d,20962,27881,30936
98092765d3ec0d06e7b703c4a2ef4aa903506f09,20343,27890,29870
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,21878,26917,29904
