commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,24810,26288,33220
e089d420e60fc9e655fb60613b8f28d651774f24,25267,26458,46923
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,25462,26959,30869
6412cc6a46f3b5543cfef307f5a40023c85cbf37,25967,27471,31684
b4bdca260a6081691fd1a28edfa01db65290341d,25472,26407,33794
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,25977,27273,38019
72b220b7d4d974db02a3bd6237eced4273d11860,25948,27481,35155
7b080327161503abd420d94cedd20ca1ec89005c,26130,27381,32558
dcc01b30003ddd20328dd5b965ea219d3322719d,26066,28961,34258
98092765d3ec0d06e7b703c4a2ef4aa903506f09,25703,27159,31333
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,26111,27478,35715
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,25244,26695,35144
e63706bf47d28ce23152341f8acc826705313f4a,25922,27222,31626
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,25715,26889,31906
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,25674,26936,36368
a9c5572845dbaebfea7edd08a555e3f6383c46f8,25650,26815,31540
64846835396b5c4ef3a56c40dcc51a6447506d36,25015,26345,30654
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,26165,27500,35943
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,25762,27366,31574
a23e489b54dc821804995274ecc8d12157158e26,25393,26369,34078
2b44b595130a34981344c929285bba2095961ef3,26701,27915,38868
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,25481,26719,31703
