commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,10712,11003,19510
e089d420e60fc9e655fb60613b8f28d651774f24,10741,11075,21605
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,10900,11390,19509
6412cc6a46f3b5543cfef307f5a40023c85cbf37,10747,11012,25507
b4bdca260a6081691fd1a28edfa01db65290341d,11095,11355,19503
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,11100,11397,17461
72b220b7d4d974db02a3bd6237eced4273d11860,10896,11445,20588
7b080327161503abd420d94cedd20ca1ec89005c,11048,12263,20566
dcc01b30003ddd20328dd5b965ea219d3322719d,10791,11052,28524
98092765d3ec0d06e7b703c4a2ef4aa903506f09,11038,11397,18558
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,10907,11972,28537
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,10724,10924,15517
e63706bf47d28ce23152341f8acc826705313f4a,11026,11918,21578
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,10915,11442,20499
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,10766,11091,16598
a9c5572845dbaebfea7edd08a555e3f6383c46f8,10715,11454,22379
64846835396b5c4ef3a56c40dcc51a6447506d36,10707,12467,23586
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,11091,11403,16552
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,10994,11960,20657
a23e489b54dc821804995274ecc8d12157158e26,10742,11792,18488
2b44b595130a34981344c929285bba2095961ef3,10768,11148,24536
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,10768,11654,21391
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,11068,11521,30523
c8df94651c9ce924bb61d70c8cce6796e1d61058,11135,11510,22555
5f71bb9930151a1595455f56a405d7aeff29128f,10768,11065,17543
