commit,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,17286,18239,18535
64846835396b5c4ef3a56c40dcc51a6447506d36,17401,17819,18588
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,17555,18141,18799
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,18032,18626,19189
a23e489b54dc821804995274ecc8d12157158e26,17879,18447,18954
2b44b595130a34981344c929285bba2095961ef3,17592,17830,18574
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,18949,20288,20851
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,19544,20027,20882
c8df94651c9ce924bb61d70c8cce6796e1d61058,17794,18212,18704
5f71bb9930151a1595455f56a405d7aeff29128f,17937,18622,19398
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,17609,18193,18974
c9c55ea86ba4ec87010256dfcd90921f39c49560,17453,18153,18867
