commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,7477,7759,9371
e089d420e60fc9e655fb60613b8f28d651774f24,7543,8450,8798
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,7666,8028,8918
6412cc6a46f3b5543cfef307f5a40023c85cbf37,7551,7686,8663
b4bdca260a6081691fd1a28edfa01db65290341d,7725,7962,8787
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,7834,8218,9037
72b220b7d4d974db02a3bd6237eced4273d11860,7652,7836,8847
7b080327161503abd420d94cedd20ca1ec89005c,7681,7955,8914
dcc01b30003ddd20328dd5b965ea219d3322719d,7791,8453,11494
98092765d3ec0d06e7b703c4a2ef4aa903506f09,7613,7813,8551
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,7560,7751,8731
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,7647,7835,8412
e63706bf47d28ce23152341f8acc826705313f4a,7799,8133,8814
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,7850,8084,8970
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,7548,7716,8589
a9c5572845dbaebfea7edd08a555e3f6383c46f8,7505,7643,7901
64846835396b5c4ef3a56c40dcc51a6447506d36,7513,7669,8589
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,7864,8112,8869
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,7710,7928,10710
