commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,18657,36600,44169
e089d420e60fc9e655fb60613b8f28d651774f24,18725,40306,52067
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,16935,35615,41580
6412cc6a46f3b5543cfef307f5a40023c85cbf37,16849,30681,42239
b4bdca260a6081691fd1a28edfa01db65290341d,19047,46395,55748
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,19280,38769,45087
72b220b7d4d974db02a3bd6237eced4273d11860,16391,34483,48533
7b080327161503abd420d94cedd20ca1ec89005c,16123,37772,42222
dcc01b30003ddd20328dd5b965ea219d3322719d,16029,37698,44935
98092765d3ec0d06e7b703c4a2ef4aa903506f09,19056,35366,47341
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,16406,34223,52404
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,17634,34262,49514
e63706bf47d28ce23152341f8acc826705313f4a,18278,35701,49646
