commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,15422,27608,45378
e089d420e60fc9e655fb60613b8f28d651774f24,13351,32758,37350
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,12967,29563,51780
6412cc6a46f3b5543cfef307f5a40023c85cbf37,11994,28631,50426
b4bdca260a6081691fd1a28edfa01db65290341d,14587,37584,48679
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,15644,36785,52232
72b220b7d4d974db02a3bd6237eced4273d11860,13127,29835,37697
7b080327161503abd420d94cedd20ca1ec89005c,13427,27775,36435
dcc01b30003ddd20328dd5b965ea219d3322719d,12322,29504,43842
98092765d3ec0d06e7b703c4a2ef4aa903506f09,13812,31279,42195
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,13014,27990,32593
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,15116,31726,37768
e63706bf47d28ce23152341f8acc826705313f4a,15989,30714,51683
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,12077,30030,51133
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,12724,30725,52385
a9c5572845dbaebfea7edd08a555e3f6383c46f8,14880,32173,100009
64846835396b5c4ef3a56c40dcc51a6447506d36,14722,36321,42113
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,12666,29581,41138
