commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,331,539,3708
e089d420e60fc9e655fb60613b8f28d651774f24,324,538,4522
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,337,533,4944
6412cc6a46f3b5543cfef307f5a40023c85cbf37,324,516,4076
b4bdca260a6081691fd1a28edfa01db65290341d,323,537,3520
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,323,526,3650
72b220b7d4d974db02a3bd6237eced4273d11860,324,528,3843
7b080327161503abd420d94cedd20ca1ec89005c,332,528,4524
dcc01b30003ddd20328dd5b965ea219d3322719d,335,532,3695
98092765d3ec0d06e7b703c4a2ef4aa903506f09,324,524,3391
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,499,545,3726
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,324,526,4758
e63706bf47d28ce23152341f8acc826705313f4a,326,531,3657
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,334,553,3933
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,321,520,3721
a9c5572845dbaebfea7edd08a555e3f6383c46f8,324,519,3566
64846835396b5c4ef3a56c40dcc51a6447506d36,323,536,3572
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,330,541,3886
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,322,524,4627
a23e489b54dc821804995274ecc8d12157158e26,329,540,4310
2b44b595130a34981344c929285bba2095961ef3,324,534,3702
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,326,530,3622
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,327,547,4775
c8df94651c9ce924bb61d70c8cce6796e1d61058,323,528,3884
