commit,p50,p95,p99
e7a6b5da2bc7e303cd26c8b1523b9e8b72e13399,173925,189845,701332
8d843796cb610dbeb144d4d5385cf69bbce43609,177053,183634,708799
5a71339acaa8f6a0ec875550504e0f304bb4e0eb,178652,206998,705476
9d05b44335df8bf6b7d0c5ee0f45f4f1d00ad9fe,176456,181456,708396
9b3aa23767cd44ac7bfb10d0824a0e9192e12bd2,176603,187031,718731
764b8250adbf57b39a559b3f1adf7f194db3cd88,176649,212594,714203
11d0dc6168ba7c28e058b5f4bbcca31ae8a49d43,176731,207266,705200
3260dd5c7e48ecc9e221020c6403365ea5ec3f50,176916,194908,688626
86728325935933f957a6069f1282673fc5f84900,176521,185670,690523
3cb7b535b3419d10fec61d18e665e95d19b7ea7d,177491,185373,720486
39428a07bc25cdc34077520a2c5062474d0cc2ea,176947,184859,714268
6d029b2bc0abe04264f58ee76fa249ddd03bee84,175769,183931,702171
09c0ecfe360818ffa008af0a7216866760d02f8a,177260,182935,699383
f20ff6f036b4db672d04d4ab04062441c6d22428,176245,186618,693692
92aec2c2039800a1ed03f913a1282a2871a3c0fb,176146,185149,696386
a64234b1df274fd4ae45276e6e1a95fed13a46ba,176812,212467,697835
8ba432a0cb477e3b6e2b242fee742dfe2ff06fad,175454,182645,696166
75de7873bb09995f90c7e44b2299479296ca081a,175698,181076,743038
a5a87364ff6fa3971e82cf97c46481123fcb65af,177004,208517,703543
