commit,p50,p95,p99
4467da61b74bb0a612a931288b7eef813cc93904,59221,61338,68196
a8411efe06b462e3eaf599ce2617bfa7e5fb15e2,59266,59987,61065
193d300962952e689c19a1c8c817fdd98f8cec3d,59264,60268,62896
d7b0f27aa5462027d53334ee56f2335b9eaebc1a,59333,60249,74330
0012b49ca96c81b96b009f835871343fde4d5180,59281,62337,70502
e2f7280ce3ca234eac3cf6124f494857bb70030e,49864,50502,56111
74f08897ff2e787a1bb87cb80bbc8d745bae92f1,50391,51611,60183
4e2ee3aa95a4318513896aedc2941145fbf634b7,50135,51671,54277
ed16a2ebcb91eed2fa4acc557dd841c18d912392,51901,52592,53356
f9463e7982a6c0e89c40047203fd441164f38ed5,50426,51045,52364
269b5dc3281fe6977fd77d601513efc5c8bde27e,51814,52467,53204
2f672cc388838f955d05841da1a339e125652860,51841,52525,55167
85bef3db80a3e8832379911d133d973aee7a4d66,49969,51036,61089
5d7e6bf9c11c4f894d15b8071589643ffeab15ad,51808,52616,53696
1b8eec6bca94222779d400e1d405743171f7fbe5,50277,51538,54131
b1be11eb98a99c1c170446fa66b75475f124d5d9,50516,51533,55991
887d3b34b6a0f7a98186d7e07abf43e7c955b65f,50131,50697,70579
2745553be19e6fafcea01ce998795270a447c357,50498,51763,64396
15b4a90a7076c6c5c802d4a052c2338b292cfe01,50516,51359,52591
755e0f674249e0af4bb3099b3d494d2d3b116149,51813,52466,53419
0df2225daf9a1ed3df5a995987cd8a2cca1af965,51837,52513,53385
925088e62b9144df371e3599d02db8dff84e8ff2,51915,52965,54305
26de2bfeb328c33d55741994acf55a25e7c879f5,51954,52611,53950
d2e96535c8fe3f3e0c476538a68ee574408d32f5,51828,52561,53667
ed3a6427be6f572cf5aaa85c09b43906a63259a4,51474,52410,59968
9254292ef5c9ffc97e9e00f0f6e9462460260eba,50157,52490,61792
336d73e69edc571fb1d46821416675ee1c264ea4,50389,51233,51850
4758a6f177a46b4eb7eca395b3b464666006dd8b,51884,52515,52967
ea37f9cd62f9c154891334c5714e1363acfc625b,52017,52667,53324
d5411465d1ec90d09fad0fefa97f4e2604756368,50509,51598,72395
