commit,p50,p95,p99
e7a6b5da2bc7e303cd26c8b1523b9e8b72e13399,690740,744912,783966
8d843796cb610dbeb144d4d5385cf69bbce43609,681446,748621,812927
5a71339acaa8f6a0ec875550504e0f304bb4e0eb,677141,717626,797301
9d05b44335df8bf6b7d0c5ee0f45f4f1d00ad9fe,681378,735896,764027
9b3aa23767cd44ac7bfb10d0824a0e9192e12bd2,684672,732215,791215
764b8250adbf57b39a559b3f1adf7f194db3cd88,686462,744088,792642
11d0dc6168ba7c28e058b5f4bbcca31ae8a49d43,683759,742113,785334
3260dd5c7e48ecc9e221020c6403365ea5ec3f50,682577,738674,808199
86728325935933f957a6069f1282673fc5f84900,682557,733436,792418
3cb7b535b3419d10fec61d18e665e95d19b7ea7d,701553,779317,799498
39428a07bc25cdc34077520a2c5062474d0cc2ea,694671,763190,788780
6d029b2bc0abe04264f58ee76fa249ddd03bee84,682305,749707,793639
