commit,p50,p95,p99
4467da61b74bb0a612a931288b7eef813cc93904,49477,51576,383693
a8411efe06b462e3eaf599ce2617bfa7e5fb15e2,49534,50830,378440
193d300962952e689c19a1c8c817fdd98f8cec3d,49594,50675,383163
d7b0f27aa5462027d53334ee56f2335b9eaebc1a,49459,50716,383468
0012b49ca96c81b96b009f835871343fde4d5180,49435,50893,383425
e2f7280ce3ca234eac3cf6124f494857bb70030e,40290,42190,369835
74f08897ff2e787a1bb87cb80bbc8d745bae92f1,40487,41202,367843
4e2ee3aa95a4318513896aedc2941145fbf634b7,40498,42127,369108
ed16a2ebcb91eed2fa4acc557dd841c18d912392,41072,42652,342526
f9463e7982a6c0e89c40047203fd441164f38ed5,40554,41663,380100
269b5dc3281fe6977fd77d601513efc5c8bde27e,41515,42736,343930
2f672cc388838f955d05841da1a339e125652860,41358,42318,342147
85bef3db80a3e8832379911d133d973aee7a4d66,40541,42076,375154
5d7e6bf9c11c4f894d15b8071589643ffeab15ad,41249,43002,346220
1b8eec6bca94222779d400e1d405743171f7fbe5,40485,41567,375510
b1be11eb98a99c1c170446fa66b75475f124d5d9,40548,41341,377315
887d3b34b6a0f7a98186d7e07abf43e7c955b65f,40487,41185,382507
2745553be19e6fafcea01ce998795270a447c357,40596,41421,376340
15b4a90a7076c6c5c802d4a052c2338b292cfe01,40475,41281,375893
755e0f674249e0af4bb3099b3d494d2d3b116149,40705,42148,347108
0df2225daf9a1ed3df5a995987cd8a2cca1af965,41017,42385,348325
925088e62b9144df371e3599d02db8dff84e8ff2,41152,42300,345093
26de2bfeb328c33d55741994acf55a25e7c879f5,41265,43266,349615
d2e96535c8fe3f3e0c476538a68ee574408d32f5,40862,42405,348296
ed3a6427be6f572cf5aaa85c09b43906a63259a4,41541,44404,351088
9254292ef5c9ffc97e9e00f0f6e9462460260eba,40521,42179,374084
336d73e69edc571fb1d46821416675ee1c264ea4,40566,41154,383314
4758a6f177a46b4eb7eca395b3b464666006dd8b,41431,42882,344856
ea37f9cd62f9c154891334c5714e1363acfc625b,41354,42814,345616
d5411465d1ec90d09fad0fefa97f4e2604756368,40582,42548,376513
b6fa755b44db214b0213ea92537810a79ec17f20,40472,42517,374823
263263f253a4733c50af4fd1b633837819156e48,41290,42670,342991
040ea50a04fe992eb07ead89507c0ece9ded5fd9,40414,41960,379625
57cbc5cf6b8deb53758099b4598ddd051d418821,40555,42150,376871
ea60f500cc30b92ef51b3c9ad02b7868477aeb1d,40585,41491,383867
86d6257e261defd2180306ad137d58e64173f1cb,41526,43334,347879
50adff29936b63f30edd0aae184ab4076681e360,40504,42337,381972
42d3f19a3cf3b4b3dc1a6c834eb5220ce1bb303f,40566,41546,375870
2b8f9987972ad9e56b157ca362108efe0dd275a2,41427,42507,343808
d6a1b21bd0484fbb3f10d67ba421d57100760e88,40258,41841,383050
63676785a82ebbeee510cf412b828b37821fdb88,41108,42840,345320
b9da0b1428ef701efe67d0303b887207c1395bac,40053,42173,380456
82c3603ce535241cb6e8ebefca86fdceefd4b93a,42638,44414,348664
03923a174275fdc368d1011762c0974d9e39ffb0,42768,43918,345572
e148ec0988792598774d94b914574e957151b2e6,42741,44137,352126
cc2eb5ca4200755d214672176d3ccd51b40c159c,42227,44197,380799
1c2e6215ea54ac5f398a3735d87ed1346914f683,42378,45082,383331
5fdfb0b133514f92b469fbd37e1cf209501578d1,42040,42856,380642
17ccf45c076dea38b1959bbdccbc339f25eb7207,41954,43747,382658
890e838a37816193511ad0a66a1a28e2dae0f3be,42847,43906,344678
9bea4a95bfa74fa53efe807f39a5742958fb8e61,42423,43998,343866
45f3b4c78e739f3b63dae9e9ce3715de31d27f44,42073,48961,385550
f05bcd246e4b8a64a9244a7164a1294624a104cf,41973,42954,378048
ea4d0030e5ed64b4309d393c9414485640690cf0,42932,44283,350816
3afc15c3d166ad390c562752c6d930c227a60f8c,42585,44095,347544
04c4544d5e2b098c3b3758aeb1700e53cdcb4e40,42143,43812,377412
4aadc51427d3babb617975cf3bd9c24fa71f7073,42848,44996,345678
8bbec3a5b1f19d5ab3969a69990515d9f01edf0e,42096,43193,375589
b8536503867466093d0c9bd06c71fa6a6d8e11d9,42610,45755,343662
f00382c9b6a0d0f9c07239cd64d7167ae3788c92,42491,44047,346292
834f3210d9f54e4d2b17a08637afee5a099bc0e1,41781,43042,414233
cee6c9ceb35126de742ef4489d8805fddc9b118c,41843,43491,410125
de2892ca2e72d5fbddb3134b57741069338b1b6c,41841,43016,410261
2d67c744fb99b850c99004bb4b69af9ada9b30ba,42662,44309,376330
474d61c8a5a32034e2dd5f31e6606f524e1c48ee,42935,44431,376093
9bc65ed3df10faec23ae713d95d8ebaba73f1f8d,42778,44386,378688
8dee831839646e6f2bf7b194f36f4a16341c7718,42627,44360,377186
a3b1ff56dacb45bb5068819f39f203bf51188fea,42867,44471,374177
d761b8f729c9ca98c80455f2b41c663d6c6b234d,42026,43519,411002
c7f16e6ca90679af7ec058d19935021f3eab73c0,42094,44077,411138
7d1f799b1913a206a4ad225dfbc2076038ae9508,42038,43447,409753
250aba01b1ebb696f5f112e5806efdf931dc8f42,42000,42711,410475
b9281de8f0cc87cdfb536cb996dcb0e2c62dc2db,42786,44385,372913
e3874dddd3f6c57952e5bafe04b26d9317f4fb5a,42065,43141,417041
59e45f9fb6e8ce2157272836b1de76c576570be7,42909,44254,373750
62a7e271a25ad98627ce22e555eeca429f0a777d,42594,44329,373832
f79e0d76a23a8d2bec58dabc9f9f73c2dec7c44a,43025,44325,373363
074841d7b72c31d0443ffdce219e3bdf086db1a8,42047,42931,414558
c33b7d65c7ee8485c11743d557ec5b1ca77a1635,57682,59676,395666
86c3ba93f0b015321c7b42ee680974c566aa68b6,57954,58917,427882
e7523b3151475ad68dd37bb3631f1138af08f13d,57875,59100,424658
7ffc5650e47e5cf1d2854d8e9b02cdee661ba862,53013,55430,401776
f94a502b05d94dea6ae7c6b7ec4e417b807ae6a5,53405,55378,391988
91bd1b09afb2546e0bd6e08c4d2528e1e2e884ae,57861,59434,432510
17f7bff22982adb3d94eb62e8a29254dd5f64ff5,53572,55686,386998
6cdc782a8b346c48527204a7dfccc7ee071f16ed,53199,54060,392688
9fc340846d11292b6f98374e34ac891e5a82a3bb,53555,55435,391139
7523b8f0dcb9ffbd5a84f863c24a6ab4c55c5e3d,53347,55596,388317
1742bed8eaa2e417f327b52a180009d3eb025a28,57787,59072,427509
57ff2fc70294ba9241327f1e5c9dda8c46ced2de,57819,59243,427339
01ecf363c790456355bbe4adfde83dad0f001d23,48050,49101,416328
04c57e92bb20ed3b9c34273b88d2103a6ccbe0d4,48024,49072,419754
6eee20d9f1b352e997901ee9195ec1a4b1bc8e92,47014,48640,415666
3fa663ac5670a911572cfefed5d9a6f3abf574b5,47072,48727,416438
