commit,p50,p95,p99
4467da61b74bb0a612a931288b7eef813cc93904,1329,1570,2458
a8411efe06b462e3eaf599ce2617bfa7e5fb15e2,1315,1614,1666
193d300962952e689c19a1c8c817fdd98f8cec3d,1302,1575,1947
d7b0f27aa5462027d53334ee56f2335b9eaebc1a,1339,1644,51398
0012b49ca96c81b96b009f835871343fde4d5180,1351,1653,1761
e2f7280ce3ca234eac3cf6124f494857bb70030e,1327,1587,2702
74f08897ff2e787a1bb87cb80bbc8d745bae92f1,1327,1601,1726
4e2ee3aa95a4318513896aedc2941145fbf634b7,1303,1597,1625
ed16a2ebcb91eed2fa4acc557dd841c18d912392,1419,1639,2273
f9463e7982a6c0e89c40047203fd441164f38ed5,1342,1552,1643
269b5dc3281fe6977fd77d601513efc5c8bde27e,1375,1663,2126
2f672cc388838f955d05841da1a339e125652860,1391,1634,1765
85bef3db80a3e8832379911d133d973aee7a4d66,1311,1603,1742
5d7e6bf9c11c4f894d15b8071589643ffeab15ad,1375,1643,1722
1b8eec6bca94222779d400e1d405743171f7fbe5,1311,1599,1624
b1be11eb98a99c1c170446fa66b75475f124d5d9,1321,1604,2075
887d3b34b6a0f7a98186d7e07abf43e7c955b65f,1348,1620,1823
2745553be19e6fafcea01ce998795270a447c357,1330,1609,1659
15b4a90a7076c6c5c802d4a052c2338b292cfe01,1339,1626,1700
755e0f674249e0af4bb3099b3d494d2d3b116149,1370,1610,2017
0df2225daf9a1ed3df5a995987cd8a2cca1af965,1382,1593,1996
925088e62b9144df371e3599d02db8dff84e8ff2,1431,1636,2430
26de2bfeb328c33d55741994acf55a25e7c879f5,1364,1719,1924
d2e96535c8fe3f3e0c476538a68ee574408d32f5,1369,1640,2040
ed3a6427be6f572cf5aaa85c09b43906a63259a4,1303,1607,1947
9254292ef5c9ffc97e9e00f0f6e9462460260eba,1331,1600,2110
