commit,p50,p95,p99
ed16a2ebcb91eed2fa4acc557dd841c18d912392,20761,28605,101321
f9463e7982a6c0e89c40047203fd441164f38ed5,18456,20395,21780
269b5dc3281fe6977fd77d601513efc5c8bde27e,16162,19855,24916
2f672cc388838f955d05841da1a339e125652860,19518,23845,47106
85bef3db80a3e8832379911d133d973aee7a4d66,14137,14622,16344
5d7e6bf9c11c4f894d15b8071589643ffeab15ad,18581,21313,28596
1b8eec6bca94222779d400e1d405743171f7fbe5,18644,20248,25587
b1be11eb98a99c1c170446fa66b75475f124d5d9,18726,20320,21540
887d3b34b6a0f7a98186d7e07abf43e7c955b65f,18577,20440,24843
2745553be19e6fafcea01ce998795270a447c357,19985,21069,21304
15b4a90a7076c6c5c802d4a052c2338b292cfe01,18693,21185,28015
755e0f674249e0af4bb3099b3d494d2d3b116149,20970,22348,24296
0df2225daf9a1ed3df5a995987cd8a2cca1af965,20321,27232,30677
925088e62b9144df371e3599d02db8dff84e8ff2,13861,14152,15078
26de2bfeb328c33d55741994acf55a25e7c879f5,19464,21579,25069
d2e96535c8fe3f3e0c476538a68ee574408d32f5,19631,21385,22517
ed3a6427be6f572cf5aaa85c09b43906a63259a4,19587,21209,21424
9254292ef5c9ffc97e9e00f0f6e9462460260eba,18807,21018,22255
