commit,p50,p95,p99
0208557d589bda7218611cfb9524363bfb1bf8d5,974,1176,1222
986fdf8cef02d60d53fb7b893f5e70aa4025ac2b,824,945,1419
2d10006ecfcee31bddb9ab184f379b5a9d21143e,911,1103,1218
7b679e8c2ae206f668eabe15846cdc891164fae1,813,929,1164
08fa57ae273860a9eda301d0f707ee8c6ef7c8fa,350,443,505
719dc778ce464711f53e67f784ea0d796c6df9c9,872,994,1043
ae7aa7cc552cbbd041f18d697d5ca4036fce4ef4,869,1001,1092
f72122693bcd0e36eafe09f10a686338cb7eca01,911,1060,2920
05ed0f88bfbe21c782041b40408d3eea17d61828,907,1134,1432
9b55b96d8ed8dd331e2d589120f86c6d253ad2b9,898,1130,1464
105ceec9bbf4d8f8c617445aa5e1e582f1adff4a,835,951,1170
ec372be18ec56daa8e23224d2ebbd095f938c527,909,1054,2035
efb2c1cd3444473fa09e48f4c09228d80e5a6aa5,804,963,1052
ab95ff3d4b526749283345dd48b708aa89f1cfc5,950,1122,1248
55c6cb58309a6e4efd8787d1b13d48ae27c5f4a3,861,1010,1222
1bb7307d6401b8d76b57b93fa25c5574b6c40bf2,386,463,515
04ed30e962560f8315533afce75bebe67159683b,895,2046,2904
f3dabedf327d253c72f645b4d5f1b16cdde459c3,841,972,1060
3767cf41c1ecbc8e181e628402d098f4696f98e9,393,478,497
f694a1b6f9befd6ff86e1b64a169f2cd02e6571c,897,1090,1482
e6226e3e5eccd4c4766f645033485d487c75ec88,910,1067,1161
a5819b4bd38c958662d21b170f460b8c0a05ccb0,381,485,747
a271b89e9c1d3b06539be8c08a823c4f6324abbf,866,1007,1265
c7173bef10ebe17f65551318b3b551b150b9515d,881,1184,2542
4467da61b74bb0a612a931288b7eef813cc93904,931,1124,1160
a8411efe06b462e3eaf599ce2617bfa7e5fb15e2,937,1156,1205
193d300962952e689c19a1c8c817fdd98f8cec3d,882,1002,1117
d7b0f27aa5462027d53334ee56f2335b9eaebc1a,1037,1265,1663
0012b49ca96c81b96b009f835871343fde4d5180,957,2375,3367
e2f7280ce3ca234eac3cf6124f494857bb70030e,861,1036,1214
74f08897ff2e787a1bb87cb80bbc8d745bae92f1,880,1076,2177
4e2ee3aa95a4318513896aedc2941145fbf634b7,856,965,1108
ed16a2ebcb91eed2fa4acc557dd841c18d912392,855,1072,1167
f9463e7982a6c0e89c40047203fd441164f38ed5,896,1069,1125
269b5dc3281fe6977fd77d601513efc5c8bde27e,415,674,2534
2f672cc388838f955d05841da1a339e125652860,929,1152,2095
85bef3db80a3e8832379911d133d973aee7a4d66,337,432,582
5d7e6bf9c11c4f894d15b8071589643ffeab15ad,839,1038,1273
1b8eec6bca94222779d400e1d405743171f7fbe5,891,1048,1085
b1be11eb98a99c1c170446fa66b75475f124d5d9,879,1067,1483
887d3b34b6a0f7a98186d7e07abf43e7c955b65f,934,1157,1608
2745553be19e6fafcea01ce998795270a447c357,861,1069,1326
15b4a90a7076c6c5c802d4a052c2338b292cfe01,991,1174,1571
755e0f674249e0af4bb3099b3d494d2d3b116149,923,1279,2560
0df2225daf9a1ed3df5a995987cd8a2cca1af965,850,1058,1125
925088e62b9144df371e3599d02db8dff84e8ff2,351,671,1092
26de2bfeb328c33d55741994acf55a25e7c879f5,845,923,966
d2e96535c8fe3f3e0c476538a68ee574408d32f5,944,1082,1268
ed3a6427be6f572cf5aaa85c09b43906a63259a4,900,1069,1131
9254292ef5c9ffc97e9e00f0f6e9462460260eba,856,1031,1111
336d73e69edc571fb1d46821416675ee1c264ea4,819,992,1115
4758a6f177a46b4eb7eca395b3b464666006dd8b,879,987,1133
ea37f9cd62f9c154891334c5714e1363acfc625b,923,1107,1289
d5411465d1ec90d09fad0fefa97f4e2604756368,942,1099,1163
b6fa755b44db214b0213ea92537810a79ec17f20,880,1059,1151
263263f253a4733c50af4fd1b633837819156e48,890,1058,1177
040ea50a04fe992eb07ead89507c0ece9ded5fd9,830,1019,1216
57cbc5cf6b8deb53758099b4598ddd051d418821,323,392,469
ea60f500cc30b92ef51b3c9ad02b7868477aeb1d,880,1065,1199
86d6257e261defd2180306ad137d58e64173f1cb,910,1093,1190
50adff29936b63f30edd0aae184ab4076681e360,853,992,1046
42d3f19a3cf3b4b3dc1a6c834eb5220ce1bb303f,930,1119,1531
2b8f9987972ad9e56b157ca362108efe0dd275a2,898,1194,1479
d6a1b21bd0484fbb3f10d67ba421d57100760e88,878,1026,1218
63676785a82ebbeee510cf412b828b37821fdb88,902,1071,1662
b9da0b1428ef701efe67d0303b887207c1395bac,865,2604,2732
82c3603ce535241cb6e8ebefca86fdceefd4b93a,397,477,575
03923a174275fdc368d1011762c0974d9e39ffb0,880,1007,1125
e148ec0988792598774d94b914574e957151b2e6,990,1117,1256
cc2eb5ca4200755d214672176d3ccd51b40c159c,373,618,1387
1c2e6215ea54ac5f398a3735d87ed1346914f683,1119,1334,1523
5fdfb0b133514f92b469fbd37e1cf209501578d1,956,1131,1219
