commit,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,10742,10950,11232
89a642312840673abd94b4797badd91e20da36f3,10735,11033,11467
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,11272,11675,12329
093f500adfdef056c7280244913e934012ac0bd8,10696,11164,13320
655c2ffaaeeffb901143db3415dc65bd70affb75,10651,10825,11174
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,10520,10802,11325
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,10732,10891,11296
875eacc8edc8e19a9dc13057800118f8b91b2817,10635,10934,11984
ad1bda4845f098715de3918e06cbd2eebf236443,10604,10786,11035
9be5193b99d4880bacd7f8400b1b678eeef18739,11120,11379,19108
93705f02bb72aa48a89e4bd2231c65c212badf95,10589,10822,11146
e4e90e79e98821b58de5bd8cf5d3326b760d2f6c,10633,10784,11082
524a515401540ea5e8db227d8a5e3a5ec5b343cf,10805,11014,12963
de379a2b8fb7d4a7c512a562736769aa12ee56c1,10763,11028,11346
74aad0dd10bcc72f3ddb8131d853bcef85f93faf,10648,10796,11293
6014e48517ba4bb09807f43df46830340cd31418,10785,11011,11734
9c87b7042d0f85dc90366c990f7cad6fee3810e0,10802,11049,11236
c0d53673608aa40435a7966fb4d13941fc0f807e,10606,10863,11104
b01efd97e4295135ba622dd47a89e69a2c8e0406,10558,10722,10863
c7466bd47b75fd28f349df7d2abb15cb6af28326,10513,10750,11103
49d053975bfab9b13eb074ad84e437170dc9cdca,10538,10693,10818
eb431ef869a12a2577af667899748faab49ef114,10528,10749,10854
5d4a4c9b1e0706dd73b24e043f8bd4c74d227e0a,11558,11763,11956
538ecf01d55a6b9fabe5ef1bdccfdf5b5482f489,10828,11649,12359
7d267df20212b556aaaf33992780d4f45e06215d,10711,10925,11832
a3180768be796f06373fd705a2d410ac2554efcb,10488,10842,12692
dff9df34d85dd8b2270f42eb2fe50ee28c6a52f5,10519,10714,10997
b3c05647d4a8699d680f108d2da568dd38887d42,10716,11030,24386
fbba826cf3809b7836d50384b15f72c624fed3ed,10801,10992,11212
534211e738543529353d7f9ab05294cae13a983a,10683,10914,11512
ae7b070d2174733790c9f0ae6a96167999c78858,10675,10892,11596
c9fdea92e9db4ab2064e3028640244b16b593bd8,10699,10936,11390
e3eacbfe376ee8871ba051889412406182b631b7,10605,10800,11183
956b011c8b2724875ea6083fec761e299519c7d8,10524,10721,11133
d4ecb0ff6daae2544a58c86e36e70ce370d69eec,10824,11530,11827
ae3b6414f34b63b7562a4ba61884cd5c0ca47d77,10806,11077,22612
08478fcf43a37388f69c160256170264aa765a3a,10697,10903,11315
55bea06b6d38ea42b2ffe2205f2075504062c54d,10694,10893,11115
88cdcd5e80f21e919e4b7ad3b447683cb1a8543b,11358,11600,12122
b3b63cb03457b435b6001df7838f5e8f6d232989,10592,10862,11230
399471f551f5564dfcadb4a0c65f272a8a06a301,10786,11292,11701
6d3fe305cd007439daf2116f2c90c7e46202bf9d,10750,11525,11657
76de8afd43b0b904714f162024ac529bcf65a483,10787,11081,12864
c1d39aa217f3d40e677595c0c114d84a987df84d,10846,11113,11425
515246049936b128bb07f639ed508f92857ec610,11464,11726,12445
b9525e21d7088cb5058b17a00f71021f3d8509e9,10635,10789,11098
6734b1ba5d0c974ac807e042be5df176fd0ccce4,10787,11090,12888
0f0f7795daf21ff05a838e500663f23514e01c23,10974,11216,11691
19d62a1e05945e00a1244311fde2f9a6fd9cf804,10927,11155,11415
f3eeb4e4d74c3141d4bac39ffa2368d37cb06f29,10859,11098,11781
b146b7fa636a20495b68c607d537563ef4bc36d0,10797,11020,11276
7ae1c1a4ff7d8074df7b045cd46adb6b76d35502,10804,10975,11461
fef27d952cb06f78c2b77ee3a2b63e66ed4738aa,10639,10835,11097
0ee22a903f31ec0b7a935b88f8a31eec4e2e488c,10829,11094,11568
0d48629ea5f6b79a1cc1bd875ae39c261c1045d9,10752,10959,11311
3b1d31af24bcde57b6a9190c1897a68de4974707,10913,11154,12698
0026ae9a34bd7e0dd2973b98dad1cdccd5835327,10991,11795,13049
f5f77796e381cd6f4fde94450ba212d5ab7a6fa7,10973,11660,13144
712e8c300fdd8fdd1622c51a9a0386fcd1d18911,10957,11244,11712
