commit,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,299567,302489,303417
89a642312840673abd94b4797badd91e20da36f3,318441,321238,322516
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,299754,301693,302202
093f500adfdef056c7280244913e934012ac0bd8,296368,298440,299406
655c2ffaaeeffb901143db3415dc65bd70affb75,295110,297323,297515
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,297554,299697,300295
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,298290,300360,302538
875eacc8edc8e19a9dc13057800118f8b91b2817,297348,299407,299888
ad1bda4845f098715de3918e06cbd2eebf236443,297379,299872,300586
9be5193b99d4880bacd7f8400b1b678eeef18739,296282,299390,310868
93705f02bb72aa48a89e4bd2231c65c212badf95,299961,301692,302545
e4e90e79e98821b58de5bd8cf5d3326b760d2f6c,297764,300556,301525
524a515401540ea5e8db227d8a5e3a5ec5b343cf,297887,299518,300730
de379a2b8fb7d4a7c512a562736769aa12ee56c1,296123,297771,298398
74aad0dd10bcc72f3ddb8131d853bcef85f93faf,298324,300404,301167
6014e48517ba4bb09807f43df46830340cd31418,297778,300077,300593
9c87b7042d0f85dc90366c990f7cad6fee3810e0,298776,301060,302124
c0d53673608aa40435a7966fb4d13941fc0f807e,297070,299067,322115
b01efd97e4295135ba622dd47a89e69a2c8e0406,299788,301571,307510
c7466bd47b75fd28f349df7d2abb15cb6af28326,296967,298587,303877
49d053975bfab9b13eb074ad84e437170dc9cdca,297841,299190,299765
eb431ef869a12a2577af667899748faab49ef114,297627,299380,299686
5d4a4c9b1e0706dd73b24e043f8bd4c74d227e0a,299221,300588,301039
538ecf01d55a6b9fabe5ef1bdccfdf5b5482f489,299011,301289,301901
7d267df20212b556aaaf33992780d4f45e06215d,297898,300361,301980
a3180768be796f06373fd705a2d410ac2554efcb,299090,300628,301956
dff9df34d85dd8b2270f42eb2fe50ee28c6a52f5,295254,297580,300897
b3c05647d4a8699d680f108d2da568dd38887d42,294458,297428,304412
fbba826cf3809b7836d50384b15f72c624fed3ed,300578,302653,307089
534211e738543529353d7f9ab05294cae13a983a,300496,302367,303089
ae7b070d2174733790c9f0ae6a96167999c78858,299691,302034,303682
c9fdea92e9db4ab2064e3028640244b16b593bd8,318837,321592,322770
e3eacbfe376ee8871ba051889412406182b631b7,319436,321688,322299
956b011c8b2724875ea6083fec761e299519c7d8,298008,301276,303866
d4ecb0ff6daae2544a58c86e36e70ce370d69eec,296856,299926,300710
ae3b6414f34b63b7562a4ba61884cd5c0ca47d77,294662,296642,297744
08478fcf43a37388f69c160256170264aa765a3a,297435,299463,311803
55bea06b6d38ea42b2ffe2205f2075504062c54d,298760,300491,308535
88cdcd5e80f21e919e4b7ad3b447683cb1a8543b,296062,298374,311309
b3b63cb03457b435b6001df7838f5e8f6d232989,295963,297109,297607
399471f551f5564dfcadb4a0c65f272a8a06a301,297036,298995,303122
6d3fe305cd007439daf2116f2c90c7e46202bf9d,296676,297782,298502
76de8afd43b0b904714f162024ac529bcf65a483,298563,304636,308561
c1d39aa217f3d40e677595c0c114d84a987df84d,299496,300843,302228
515246049936b128bb07f639ed508f92857ec610,296321,298324,299242
b9525e21d7088cb5058b17a00f71021f3d8509e9,319354,321890,322780
6734b1ba5d0c974ac807e042be5df176fd0ccce4,298596,300324,308234
0f0f7795daf21ff05a838e500663f23514e01c23,298578,300341,300872
19d62a1e05945e00a1244311fde2f9a6fd9cf804,297446,299325,300513
f3eeb4e4d74c3141d4bac39ffa2368d37cb06f29,301177,302953,304218
b146b7fa636a20495b68c607d537563ef4bc36d0,301210,302966,310754
7ae1c1a4ff7d8074df7b045cd46adb6b76d35502,297238,298749,304601
fef27d952cb06f78c2b77ee3a2b63e66ed4738aa,296687,298214,299072
0ee22a903f31ec0b7a935b88f8a31eec4e2e488c,297916,300020,310550
0d48629ea5f6b79a1cc1bd875ae39c261c1045d9,319291,321284,329891
3b1d31af24bcde57b6a9190c1897a68de4974707,304410,306035,309368
0026ae9a34bd7e0dd2973b98dad1cdccd5835327,295972,297721,298160
f5f77796e381cd6f4fde94450ba212d5ab7a6fa7,297479,316333,317812
712e8c300fdd8fdd1622c51a9a0386fcd1d18911,301114,302877,311531
6309178b98df7fa187ae4efa56df018a806bae87,295574,296894,299008
eb53654927f7a1ddbd3f425e94a9558c722eae3c,295265,297585,303188
8dee928a03083d3b2f60cc27df4bff74444cb1a8,296070,299800,302293
7e79734f52503c636fb336b6c7636df1ccbdd3bc,297070,298619,299249
3399ae6b8d0b3b8987fa326c7cfb89879179a3d5,298257,301495,303668
ba8bda4ea60af2feb23bad1e96a909d483d70c9d,295371,296788,297271
22ea80964ff5997d6417409d3b0825bd346c7e08,295428,298162,301711
3717dc73b4eb9f8e3caee422630a639e8f8e2251,294020,295744,296327
00079df09072312da114b2926654bb785002f8bb,296653,298420,301694
de45c1af820bf6748a65b4ac91d0771037a3ed5b,296231,297809,302381
26e7f00cb1d320424225711486fe98d82719477f,315952,318374,329399
77ac88faaf3775011f7c04aa6ee2ec47f782a566,297026,299077,303559
23aca072ded43f68689d51a588fa284f680b5730,298386,300427,301221
6c4f1b987ab5cc36fd7a7e749edca113a8f8a372,300098,302477,314328
1dc3b545899cd6214911da851be1857e2f930b76,295155,296933,297881
bbcf471ff89b50a1fe6aac36a0a7f66571ee35f2,296981,300338,301938
bd20c1745bf5742cdbb10f3a628427bc1b2338c1,245531,246520,246751
4ac85a682e053a13ea43cb4ef7471f2e586a947f,243958,245047,245552
5dcd9990b4ea7c7bf3f15f458b45b8605684c0be,318580,321145,321792
b660181ece3f9d2faefce4205c89c16fd638ee2d,298692,300935,315006
20ee47016e3cf7d650f34653762c72fcede2da98,300923,303116,314860
6ee2e0f8636fe0512e0e3e2de0ae99950d40413b,295599,297518,297920
3f5ad7c862ade910114977d2438ac5fbd8f9a445,298631,300727,301386
a0ec18f122784793853d8bebe17d93d341c4b178,296311,299008,299342
ca8f79e853a3a56a09f3c83412e41040f5a4f2ee,314289,317532,330975
aab22e0f204fbf749a0fca9fe37168c017b6701f,295791,298738,309093
2d38ead92b834c121dee35f1bc67e3cca42dafe4,296801,298846,311984
5663375dba9b55cae6197fd78a1483e56060c51f,297943,299715,312889
9be2a776d7b92f71eb0821257467d72f17d2e48a,299999,301343,317373
01151ef0a51c9d3cbce9da83f85f91af95060cec,298601,301449,304223
1cc69149695bfd9f00715eaa43d946a9057abe7f,296938,298511,314188
23fccf6f9b5ec309b8bcdb03ea7ef502d6f8f9fb,297701,299491,305520
427f07df7a0b6286880ff95b833c27168500598c,298322,300403,311575
38712533fec9b1c443405d397f3b362ef90d2842,299797,301532,320777
248de1258cac6de6430f232cf8f0f750659c03f8,293843,295588,296240
f2a36394be3193655a6825751436cfd7650086aa,298395,300280,309862
976fdf549395b627f76d3b983ae671fdff644680,298770,300253,306989
5179f753c5ce94361b1f903bf74a3fb479148c7d,295697,298174,308049
242c1e5e7d9f88f2c0e06a9fb03980bcf0c804fc,297612,299663,303388
bbc2dc96d48ebdbd2b81298658400d6b44f964d3,298329,300143,319470
b4e00cccaa76290a9e0b47f8bd2550690117e7c4,299406,301359,303514
74a22c34a9eff75856782126adc7c6d8514fd927,317430,319523,330555
6171adfdefc73b94605f576000f4fcf338dc42c1,295738,297757,309148
9a4376b96413060c8fd0441bbd121d1ad73e07b6,295896,297858,301114
95aba6616d5cd5d3d8a371dad1787699ccc7d78a,299234,300363,306301
aa0dcf46dcfd0835137c073cd96bcc648e66b724,315472,318342,320825
6ee8a8dc730e3855d0082a2b01740c0370ae0d76,298550,299619,316361
