commit,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,7159,7696,8721
89a642312840673abd94b4797badd91e20da36f3,7101,7476,10657
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,7336,8289,8713
093f500adfdef056c7280244913e934012ac0bd8,7337,10469,19415
655c2ffaaeeffb901143db3415dc65bd70affb75,7281,8415,18591
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,7257,8017,34174
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,8445,9768,10145
753dda2091ec3238b8a86ac27c012faa6de47641,7887,10308,26774
875eacc8edc8e19a9dc13057800118f8b91b2817,7364,8092,8778
ad1bda4845f098715de3918e06cbd2eebf236443,7305,7685,8603
9be5193b99d4880bacd7f8400b1b678eeef18739,7293,7591,9425
93705f02bb72aa48a89e4bd2231c65c212badf95,7248,8138,15947
e4e90e79e98821b58de5bd8cf5d3326b760d2f6c,7325,8469,29217
b3cc6bb06b6b34de57f56414be53df19bd236bda,7235,8677,34085
524a515401540ea5e8db227d8a5e3a5ec5b343cf,7288,8755,32042
de379a2b8fb7d4a7c512a562736769aa12ee56c1,7471,8805,17223
74aad0dd10bcc72f3ddb8131d853bcef85f93faf,7239,8169,8788
9c87b7042d0f85dc90366c990f7cad6fee3810e0,7143,7417,10305
c0d53673608aa40435a7966fb4d13941fc0f807e,7295,8223,8873
b01efd97e4295135ba622dd47a89e69a2c8e0406,7304,8691,29955
c7466bd47b75fd28f349df7d2abb15cb6af28326,7303,8144,8566
49d053975bfab9b13eb074ad84e437170dc9cdca,7251,8944,29492
eb431ef869a12a2577af667899748faab49ef114,7217,7950,13638
5d4a4c9b1e0706dd73b24e043f8bd4c74d227e0a,7148,7384,13562
538ecf01d55a6b9fabe5ef1bdccfdf5b5482f489,7740,8125,9808
7d267df20212b556aaaf33992780d4f45e06215d,7203,8974,22232
a3180768be796f06373fd705a2d410ac2554efcb,7159,8123,9003
dff9df34d85dd8b2270f42eb2fe50ee28c6a52f5,7132,8103,10343
b3c05647d4a8699d680f108d2da568dd38887d42,7128,8930,29212
fbba826cf3809b7836d50384b15f72c624fed3ed,7084,7802,9385
534211e738543529353d7f9ab05294cae13a983a,7081,8080,12470
ae7b070d2174733790c9f0ae6a96167999c78858,7075,7341,8435
c9fdea92e9db4ab2064e3028640244b16b593bd8,7085,8694,21127
e3eacbfe376ee8871ba051889412406182b631b7,7435,11277,21993
956b011c8b2724875ea6083fec761e299519c7d8,7138,8094,8704
d4ecb0ff6daae2544a58c86e36e70ce370d69eec,7159,7530,12823
ae3b6414f34b63b7562a4ba61884cd5c0ca47d77,7182,9608,10838
08478fcf43a37388f69c160256170264aa765a3a,7014,8201,8442
55bea06b6d38ea42b2ffe2205f2075504062c54d,6885,7531,8729
88cdcd5e80f21e919e4b7ad3b447683cb1a8543b,8407,8702,9201
b3b63cb03457b435b6001df7838f5e8f6d232989,6941,7770,9431
399471f551f5564dfcadb4a0c65f272a8a06a301,6918,7444,23419
6d3fe305cd007439daf2116f2c90c7e46202bf9d,6976,8047,15918
76de8afd43b0b904714f162024ac529bcf65a483,6870,7734,23815
c1d39aa217f3d40e677595c0c114d84a987df84d,6863,7796,10087
515246049936b128bb07f639ed508f92857ec610,7011,8553,8623
b9525e21d7088cb5058b17a00f71021f3d8509e9,7001,7898,16664
6734b1ba5d0c974ac807e042be5df176fd0ccce4,6915,7529,32227
0f0f7795daf21ff05a838e500663f23514e01c23,7074,7709,30271
19d62a1e05945e00a1244311fde2f9a6fd9cf804,7173,8836,10275
f3eeb4e4d74c3141d4bac39ffa2368d37cb06f29,7182,13105,24846
b146b7fa636a20495b68c607d537563ef4bc36d0,7071,8281,25980
7ae1c1a4ff7d8074df7b045cd46adb6b76d35502,7119,8268,34920
fef27d952cb06f78c2b77ee3a2b63e66ed4738aa,7198,8942,12229
0ee22a903f31ec0b7a935b88f8a31eec4e2e488c,7165,8091,29913
0d48629ea5f6b79a1cc1bd875ae39c261c1045d9,7084,7360,18454
3b1d31af24bcde57b6a9190c1897a68de4974707,7090,7674,8602
0026ae9a34bd7e0dd2973b98dad1cdccd5835327,7067,7515,9126
f5f77796e381cd6f4fde94450ba212d5ab7a6fa7,7194,10527,25405
712e8c300fdd8fdd1622c51a9a0386fcd1d18911,7078,9680,18885
6309178b98df7fa187ae4efa56df018a806bae87,7090,7995,8622
eb53654927f7a1ddbd3f425e94a9558c722eae3c,7128,8968,14530
8dee928a03083d3b2f60cc27df4bff74444cb1a8,7109,7774,17326
7e79734f52503c636fb336b6c7636df1ccbdd3bc,7162,9657,10538
3399ae6b8d0b3b8987fa326c7cfb89879179a3d5,7130,8719,28791
ba8bda4ea60af2feb23bad1e96a909d483d70c9d,7181,9268,31086
4fb9590cfc528e61aaafe3ebd72a4f8928028b91,8090,9887,33203
22ea80964ff5997d6417409d3b0825bd346c7e08,7106,8220,24494
3717dc73b4eb9f8e3caee422630a639e8f8e2251,7090,7545,21956
00079df09072312da114b2926654bb785002f8bb,7114,7581,22223
de45c1af820bf6748a65b4ac91d0771037a3ed5b,7244,8793,28172
26e7f00cb1d320424225711486fe98d82719477f,7228,8120,30983
77ac88faaf3775011f7c04aa6ee2ec47f782a566,7138,7747,27245
23aca072ded43f68689d51a588fa284f680b5730,7123,7479,13167
6c4f1b987ab5cc36fd7a7e749edca113a8f8a372,7161,8169,8686
1dc3b545899cd6214911da851be1857e2f930b76,7109,7578,9478
bbcf471ff89b50a1fe6aac36a0a7f66571ee35f2,7105,7528,8634
bd20c1745bf5742cdbb10f3a628427bc1b2338c1,7160,7649,21568
4ac85a682e053a13ea43cb4ef7471f2e586a947f,7099,7454,8635
5dcd9990b4ea7c7bf3f15f458b45b8605684c0be,7216,8522,27286
b660181ece3f9d2faefce4205c89c16fd638ee2d,7190,7533,13234
20ee47016e3cf7d650f34653762c72fcede2da98,7432,8392,23649
6ee2e0f8636fe0512e0e3e2de0ae99950d40413b,7211,8232,16405
3f5ad7c862ade910114977d2438ac5fbd8f9a445,7155,8775,38028
a0ec18f122784793853d8bebe17d93d341c4b178,8142,9005,36160
ca8f79e853a3a56a09f3c83412e41040f5a4f2ee,7164,7943,23704
aab22e0f204fbf749a0fca9fe37168c017b6701f,7193,7746,10726
2d38ead92b834c121dee35f1bc67e3cca42dafe4,7205,7812,22619
5663375dba9b55cae6197fd78a1483e56060c51f,7210,8608,11432
9be2a776d7b92f71eb0821257467d72f17d2e48a,7169,8767,18908
01151ef0a51c9d3cbce9da83f85f91af95060cec,7158,10951,34040
1cc69149695bfd9f00715eaa43d946a9057abe7f,7264,10871,38893
23fccf6f9b5ec309b8bcdb03ea7ef502d6f8f9fb,7210,7816,12313
427f07df7a0b6286880ff95b833c27168500598c,7155,7760,22038
38712533fec9b1c443405d397f3b362ef90d2842,7168,7736,9507
248de1258cac6de6430f232cf8f0f750659c03f8,7300,8315,18885
976fdf549395b627f76d3b983ae671fdff644680,7281,8152,25716
5179f753c5ce94361b1f903bf74a3fb479148c7d,7344,10342,23834
242c1e5e7d9f88f2c0e06a9fb03980bcf0c804fc,7335,8252,15157
bbc2dc96d48ebdbd2b81298658400d6b44f964d3,7743,8589,25474
b4e00cccaa76290a9e0b47f8bd2550690117e7c4,7851,10065,13472
74a22c34a9eff75856782126adc7c6d8514fd927,7341,8464,15502
6171adfdefc73b94605f576000f4fcf338dc42c1,7305,7888,8577
9a4376b96413060c8fd0441bbd121d1ad73e07b6,7402,9201,15188
95aba6616d5cd5d3d8a371dad1787699ccc7d78a,7351,8301,13760
aa0dcf46dcfd0835137c073cd96bcc648e66b724,7368,8047,23782
6ee8a8dc730e3855d0082a2b01740c0370ae0d76,7417,8978,9116
682e891ef102b62e7bb856883bbe5fb3ac490731,7348,7988,9181
43ca1e458a0d0d92d1d68ef2fea1fef1d102cd35,7252,8696,23951
ae05b8d6009595d84f5a1e41272e3ab52ac24c25,7890,9017,16071
a5c69b899200c8dd7957e840866c94685bc103ad,7339,8467,28228
07adc08730c9b3a1782b74f3d2ea490920c944e7,7302,7635,8632
0c006f0e57b154c4430d3162e58d8b2cbe91501e,7387,8271,14251
fc25876bee248bd88107ee3e2cb85cabe40819bd,7401,11229,18190
be3e346b9b889086f7d7e8ed636ec2d974c5d7a5,7380,7813,8774
34c8fae400b195d706d7c468b02fc72e34d6f48e,7330,7758,8793
018ca23396cdc07d6e4fad341b396ab06d3c0d7f,7345,8690,21527
32ff8a1a96220bf29043e226a6681b9faa217c79,7261,8610,9417
a83b57d5a5ff2b0c7d8f57e36aba99513cfa882e,7421,9048,9476
7c2f58911108413e65fcbe3e89108f4c0f6c9974,7351,7828,11415
