commit,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,859991,878970,883527
89a642312840673abd94b4797badd91e20da36f3,860081,876512,885359
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,860324,876721,885236
093f500adfdef056c7280244913e934012ac0bd8,863348,875317,887095
655c2ffaaeeffb901143db3415dc65bd70affb75,862130,884086,900086
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,862448,882949,939382
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,862689,881119,890550
753dda2091ec3238b8a86ac27c012faa6de47641,876465,984200,1113390
875eacc8edc8e19a9dc13057800118f8b91b2817,862516,880038,889054
ad1bda4845f098715de3918e06cbd2eebf236443,863578,876682,887546
9be5193b99d4880bacd7f8400b1b678eeef18739,863489,882398,889758
93705f02bb72aa48a89e4bd2231c65c212badf95,862083,878982,889378
e4e90e79e98821b58de5bd8cf5d3326b760d2f6c,862115,876899,885043
b3cc6bb06b6b34de57f56414be53df19bd236bda,862510,878106,910167
524a515401540ea5e8db227d8a5e3a5ec5b343cf,863451,875654,881321
de379a2b8fb7d4a7c512a562736769aa12ee56c1,866505,884131,904120
74aad0dd10bcc72f3ddb8131d853bcef85f93faf,860609,1003305,1477083
9c87b7042d0f85dc90366c990f7cad6fee3810e0,858906,874172,879100
c0d53673608aa40435a7966fb4d13941fc0f807e,857221,873236,879873
b01efd97e4295135ba622dd47a89e69a2c8e0406,858879,872523,876967
c7466bd47b75fd28f349df7d2abb15cb6af28326,858476,870969,872956
49d053975bfab9b13eb074ad84e437170dc9cdca,858090,873003,889883
eb431ef869a12a2577af667899748faab49ef114,859088,867980,886057
5d4a4c9b1e0706dd73b24e043f8bd4c74d227e0a,856979,869464,877140
538ecf01d55a6b9fabe5ef1bdccfdf5b5482f489,856446,868492,870999
7d267df20212b556aaaf33992780d4f45e06215d,858255,871157,873713
a3180768be796f06373fd705a2d410ac2554efcb,858120,870476,892152
dff9df34d85dd8b2270f42eb2fe50ee28c6a52f5,857457,870233,878814
b3c05647d4a8699d680f108d2da568dd38887d42,857576,868163,872156
fbba826cf3809b7836d50384b15f72c624fed3ed,858830,874063,881389
534211e738543529353d7f9ab05294cae13a983a,858806,872638,888277
ae7b070d2174733790c9f0ae6a96167999c78858,859222,872226,876617
c9fdea92e9db4ab2064e3028640244b16b593bd8,860615,874190,897398
e3eacbfe376ee8871ba051889412406182b631b7,861180,876715,878960
956b011c8b2724875ea6083fec761e299519c7d8,857598,869222,876558
d4ecb0ff6daae2544a58c86e36e70ce370d69eec,858823,871668,874357
ae3b6414f34b63b7562a4ba61884cd5c0ca47d77,859647,870640,878572
08478fcf43a37388f69c160256170264aa765a3a,860099,871663,876820
55bea06b6d38ea42b2ffe2205f2075504062c54d,859772,873944,878944
88cdcd5e80f21e919e4b7ad3b447683cb1a8543b,861119,875607,889823
b3b63cb03457b435b6001df7838f5e8f6d232989,857723,870832,874554
399471f551f5564dfcadb4a0c65f272a8a06a301,860329,873828,880486
6d3fe305cd007439daf2116f2c90c7e46202bf9d,858944,867613,881676
76de8afd43b0b904714f162024ac529bcf65a483,858751,868471,873020
c1d39aa217f3d40e677595c0c114d84a987df84d,858969,871890,880834
515246049936b128bb07f639ed508f92857ec610,857046,870172,878631
b9525e21d7088cb5058b17a00f71021f3d8509e9,859860,869987,876971
6734b1ba5d0c974ac807e042be5df176fd0ccce4,861587,875614,891719
0f0f7795daf21ff05a838e500663f23514e01c23,858923,873728,879518
19d62a1e05945e00a1244311fde2f9a6fd9cf804,860370,872112,876180
f3eeb4e4d74c3141d4bac39ffa2368d37cb06f29,861534,873046,887434
b146b7fa636a20495b68c607d537563ef4bc36d0,857919,870364,884106
7ae1c1a4ff7d8074df7b045cd46adb6b76d35502,861729,878134,895452
fef27d952cb06f78c2b77ee3a2b63e66ed4738aa,861613,875077,879790
0ee22a903f31ec0b7a935b88f8a31eec4e2e488c,866333,1111967,1234732
0d48629ea5f6b79a1cc1bd875ae39c261c1045d9,858954,869003,877913
3b1d31af24bcde57b6a9190c1897a68de4974707,859056,876833,883698
0026ae9a34bd7e0dd2973b98dad1cdccd5835327,861179,872911,886185
f5f77796e381cd6f4fde94450ba212d5ab7a6fa7,860190,872836,879669
